FGRef	BibTagId	Role	Word	After	WordClass	Person	Gender	Number	Tense	Voice	Mood	Degree	WordType	Domain	Frames	Referents	Discontinuous	Morphology	Lemma	Junction	Strong	ContextualGloss	Nesting
MAT_1:1w1	40lLp	p	Βίβλος	 	n		f	s					com	033005				N-NSF	βίβλος		976	[The] book	P2CL/p=NPofNP
MAT_1:1w2	40dZA	p	γενέσεως	 	n		f	s					com	010002 033003				N-GSF	γένεσις		1078	of [the] genealogy	P2CL/p=NPofNP/NPofNP
MAT_1:1w3	40yyP	p	Ἰησοῦ	 	n		m	s					PN	093001				N-GSM	Ἰησοῦς		2424	of Jesus	P2CL/p=NPofNP/NPofNP/Np-Appos/Np-Appos/Np-Appos
MAT_1:1w4	408VH	p	χριστοῦ	 	n		m	s					PN	093001				N-GSM	Χριστός	apposition	5547	Christ	P2CL/p=NPofNP/NPofNP/Np-Appos/Np-Appos/Np-Appos
MAT_1:1w5	40gse	p	υἱοῦ	 	n		m	s					com	010002				N-GSM	υἱός		5207	son	P2CL/p=NPofNP/NPofNP/Np-Appos/Np-Appos/NPofNP
MAT_1:1w6	40Brf	p	Δαυὶδ	 	n		m	s					PN	093001				N-PRI	Δαυίδ		1138	of David	P2CL/p=NPofNP/NPofNP/Np-Appos/Np-Appos/NPofNP
MAT_1:1w7	40GF0	p	υἱοῦ	 	n		m	s					com	010002				N-GSM	υἱός		5207	son	P2CL/p=NPofNP/NPofNP/Np-Appos/NPofNP
MAT_1:1w8	40Oxf	p	Ἀβραάμ	.	n		m	s					PN	093001				N-PRI	Ἀβραάμ		11	of Abraham	P2CL/p=NPofNP/NPofNP/Np-Appos/NPofNP
MAT_1:2w1	4044n	s	Ἀβραὰμ	 	n		m	s					PN	093001				N-PRI	Ἀβραάμ		11	Abraham	Conj13CL/S-V-O
MAT_1:2w2	40jWj	v	ἐγέννησεν	 	v	3		s	aorist	active	indicative			023003	A0:n40001002001 A1:n40001002004			V-AAI-3S	γεννάω		1080	begat	Conj13CL/S-V-O
MAT_1:2w3	40Z9R	o	τὸν	 	det		m	s						092004				T-ASM	ὁ		3588	-	Conj13CL/S-V-O/o=DetNP
MAT_1:2w4	40ohL	o	Ἰσαάκ	,	n		m	s					PN	093001				N-PRI	Ἰσαάκ		2464	Isaac	Conj13CL/S-V-O/o=DetNP
MAT_1:2w5	40ILR	s	Ἰσαὰκ	 	n		m	s					PN	093001				N-PRI	Ἰσαάκ		2464	Isaac	Conj13CL/S-V-O
MAT_1:2w6	40eZy		δὲ	 	conj									089015			true	CONJ	δέ		1161	then	Conj13CL
MAT_1:2w7	40cAS	v	ἐγέννησεν	 	v	3		s	aorist	active	indicative			023003	A0:n40001002005 A1:n40001002009			V-AAI-3S	γεννάω		1080	begat	Conj13CL/S-V-O
MAT_1:2w8	408y2	o	τὸν	 	det		m	s						092004				T-ASM	ὁ		3588	-	Conj13CL/S-V-O/o=DetNP
MAT_1:2w9	405bZ	o	Ἰακώβ	,	n		m	s					PN	093001				N-PRI	Ἰακώβ		2384	Jacob	Conj13CL/S-V-O/o=DetNP
MAT_1:2w10	40RQy	s	Ἰακὼβ	 	n		m	s					PN	093001				N-PRI	Ἰακώβ		2384	Jacob	Conj13CL/S-V-O
MAT_1:2w11	40GmT		δὲ	 	conj									089015			true	CONJ	δέ		1161	then	Conj13CL
MAT_1:2w12	40QAP	v	ἐγέννησεν	 	v	3		s	aorist	active	indicative			023003	A0:n40001002010 A1:n40001002014;n40001002017			V-AAI-3S	γεννάω		1080	begat	Conj13CL/S-V-O
MAT_1:2w13	408s2	o	τὸν	 	det		m	s						092004				T-ASM	ὁ		3588	-	Conj13CL/S-V-O/o=NpaNp/DetNP
MAT_1:2w14	40WDc	o	Ἰούδαν	 	n		m	s					PN	093001				N-ASM	Ἰούδας		2455	Judah	Conj13CL/S-V-O/o=NpaNp/DetNP
MAT_1:2w15	406iK	o	καὶ	 	conj									089017				CONJ	καί		2532	and	Conj13CL/S-V-O/o=NpaNp
MAT_1:2w16	40zKQ	o	τοὺς	 	det		m	p						092004				T-APM	ὁ		3588	the	Conj13CL/S-V-O/o=NpaNp/DetNP
MAT_1:2w17	40xrR	o	ἀδελφοὺς	 	n		m	p					com	010003				N-APM	ἀδελφός		80	brothers	Conj13CL/S-V-O/o=NpaNp/DetNP/NPofNP
MAT_1:2w18	40ccs	o	αὐτοῦ	,	pron		m	s					personal	092004		1:2w14		P-GSM	αὐτός		846	of him	Conj13CL/S-V-O/o=NpaNp/DetNP/NPofNP
MAT_1:3w1	40mzE	s	Ἰούδας	 	n		m	s					PN	093001				N-NSM	Ἰούδας		2455	Judah	Conj13CL/S-V-O-ADV
MAT_1:3w2	407CS		δὲ	 	conj									089015			true	CONJ	δέ		1161	then	Conj13CL
MAT_1:3w3	40iKy	v	ἐγέννησεν	 	v	3		s	aorist	active	indicative			023003	A0:n40001003001 A1:n40001003005;n40001003008			V-AAI-3S	γεννάω		1080	begat	Conj13CL/S-V-O-ADV
MAT_1:3w4	40mbe	o	τὸν	 	det		m	s						092004				T-ASM	ὁ		3588	-	Conj13CL/S-V-O-ADV/o=NpaNp/DetNP
MAT_1:3w5	40jLX	o	Φαρὲς	 	n		m	s					PN	093001				N-PRI	Φαρές		5329	Perez	Conj13CL/S-V-O-ADV/o=NpaNp/DetNP
MAT_1:3w6	40AZZ	o	καὶ	 	conj									089017				CONJ	καί		2532	and	Conj13CL/S-V-O-ADV/o=NpaNp
MAT_1:3w7	40JF9	o	τὸν	 	det		m	s						092004				T-ASM	ὁ		3588	-	Conj13CL/S-V-O-ADV/o=NpaNp/DetNP
MAT_1:3w8	40uak	o	Ζάρα	 	n		m	s					PN	093001				N-PRI	Ζάρα		2196	Zerah	Conj13CL/S-V-O-ADV/o=NpaNp/DetNP
MAT_1:3w9	40sua	adv	ἐκ	 	pp									089003				PREP	ἐκ		1537	out of	Conj13CL/S-V-O-ADV/adv=PrepNp
MAT_1:3w10	40rAU	adv	τῆς	 	det		f	s						092004				T-GSF	ὁ		3588	-	Conj13CL/S-V-O-ADV/adv=PrepNp/DetNP
MAT_1:3w11	40qA1	adv	Θαμάρ	,	n		f	s					PN	093001				N-PRI	Θαμάρ		2283	Tamar	Conj13CL/S-V-O-ADV/adv=PrepNp/DetNP
MAT_1:3w12	40pgu	s	Φαρὲς	 	n		m	s					PN	093001				N-PRI	Φαρές		5329	Perez	Conj13CL/S-V-O
MAT_1:3w13	40A0o		δὲ	 	conj									089015			true	CONJ	δέ		1161	then	Conj13CL
MAT_1:3w14	40Kv8	v	ἐγέννησεν	 	v	3		s	aorist	active	indicative			023003	A0:n40001003012 A1:n40001003016			V-AAI-3S	γεννάω		1080	begat	Conj13CL/S-V-O
MAT_1:3w15	40GRZ	o	τὸν	 	det		m	s						092004				T-ASM	ὁ		3588	-	Conj13CL/S-V-O/o=DetNP
MAT_1:3w16	40R6V	o	Ἑσρώμ	,	n		m	s					PN	093001				N-PRI	Ἑσρώμ		2074	Hezron	Conj13CL/S-V-O/o=DetNP
MAT_1:3w17	40Iwm	s	Ἑσρὼμ	 	n		m	s					PN	093001				N-PRI	Ἑσρώμ		2074	Hezron	Conj13CL/S-V-O
MAT_1:3w18	40kh4		δὲ	 	conj									089015			true	CONJ	δέ		1161	then	Conj13CL
MAT_1:3w19	40LuV	v	ἐγέννησεν	 	v	3		s	aorist	active	indicative			023003	A0:n40001003017 A1:n40001003021			V-AAI-3S	γεννάω		1080	begat	Conj13CL/S-V-O
MAT_1:3w20	40q6t	o	τὸν	 	det		m	s						092004				T-ASM	ὁ		3588	-	Conj13CL/S-V-O/o=DetNP
MAT_1:3w21	40BXr	o	Ἀράμ	,	n		m	s					PN	093001				N-PRI	Ἀράμ		689	Ram	Conj13CL/S-V-O/o=DetNP
MAT_1:4w1	40uql	s	Ἀρὰμ	 	n		m	s					PN	093001				N-PRI	Ἀράμ		689	Ram	Conj13CL/S-V-O
MAT_1:4w2	40P8N		δὲ	 	conj									089015			true	CONJ	δέ		1161	then	Conj13CL
MAT_1:4w3	40Clw	v	ἐγέννησεν	 	v	3		s	aorist	active	indicative			023003	A0:n40001004001 A1:n40001004005			V-AAI-3S	γεννάω		1080	begat	Conj13CL/S-V-O
MAT_1:4w4	40lIV	o	τὸν	 	det		m	s						092004				T-ASM	ὁ		3588	-	Conj13CL/S-V-O/o=DetNP
MAT_1:4w5	40LBC	o	Ἀμιναδάβ	,	n		m	s					PN	093001				N-PRI	Ἀμιναδάβ		284	Amminadab	Conj13CL/S-V-O/o=DetNP
MAT_1:4w6	40wRz	s	Ἀμιναδὰβ	 	n		m	s					PN	093001				N-PRI	Ἀμιναδάβ		284	Amminadab	Conj13CL/S-V-O
MAT_1:4w7	40Xkr		δὲ	 	conj									089015			true	CONJ	δέ		1161	then	Conj13CL
MAT_1:4w8	40LYy	v	ἐγέννησεν	 	v	3		s	aorist	active	indicative			023003	A0:n40001004006 A1:n40001004010			V-AAI-3S	γεννάω		1080	begat	Conj13CL/S-V-O
MAT_1:4w9	40K7W	o	τὸν	 	det		m	s						092004				T-ASM	ὁ		3588	-	Conj13CL/S-V-O/o=DetNP
MAT_1:4w10	40p9e	o	Ναασσών	,	n		m	s					PN	093001				N-PRI	Ναασσών		3476	Nahshon	Conj13CL/S-V-O/o=DetNP
MAT_1:4w11	40F5C	s	Ναασσὼν	 	n		m	s					PN	093001				N-PRI	Ναασσών		3476	Nahshon	Conj13CL/S-V-O
MAT_1:4w12	405Us		δὲ	 	conj									089015			true	CONJ	δέ		1161	then	Conj13CL
MAT_1:4w13	40RUx	v	ἐγέννησεν	 	v	3		s	aorist	active	indicative			023003	A0:n40001004011 A1:n40001004015			V-AAI-3S	γεννάω		1080	begat	Conj13CL/S-V-O
MAT_1:4w14	40GYj	o	τὸν	 	det		m	s						092004				T-ASM	ὁ		3588	-	Conj13CL/S-V-O/o=DetNP
MAT_1:4w15	40Q6Z	o	Σαλμών	,	n		m	s					PN	093001				N-PRI	Σαλμών		4533	Salmon	Conj13CL/S-V-O/o=DetNP
MAT_1:5w1	40zwX	s	Σαλμὼν	 	n		m	s					PN	093001				N-PRI	Σαλμών		4533	Salmon	Conj13CL/S-V-O-ADV
MAT_1:5w2	40uIj		δὲ	 	conj									089015			true	CONJ	δέ		1161	then	Conj13CL
MAT_1:5w3	40vHx	v	ἐγέννησεν	 	v	3		s	aorist	active	indicative			023003	A0:n40001005001 A1:n40001005005			V-AAI-3S	γεννάω		1080	begat	Conj13CL/S-V-O-ADV
MAT_1:5w4	40OH7	o	τὸν	 	det		m	s						092004				T-ASM	ὁ		3588	-	Conj13CL/S-V-O-ADV/o=DetNP
MAT_1:5w5	409nS	o	Βόες	 	n		m	s					PN	093001				N-PRI	Βόες		1003	Boaz	Conj13CL/S-V-O-ADV/o=DetNP
MAT_1:5w6	40zN6	adv	ἐκ	 	pp									089003				PREP	ἐκ		1537	out of	Conj13CL/S-V-O-ADV/adv=PrepNp
MAT_1:5w7	40ESZ	adv	τῆς	 	det		f	s						092004				T-GSF	ὁ		3588	-	Conj13CL/S-V-O-ADV/adv=PrepNp/DetNP
MAT_1:5w8	40wzb	adv	Ῥαχάβ	,	n		f	s					PN	093001				N-PRI	Ῥαχάβ		4477	Rahab	Conj13CL/S-V-O-ADV/adv=PrepNp/DetNP
MAT_1:5w9	40kiQ	s	Βόες	 	n		m	s					PN	093001				N-PRI	Βόες		1003	Boaz	Conj13CL/S-V-O-ADV
MAT_1:5w10	40PDB		δὲ	 	conj									089015			true	CONJ	δέ		1161	then	Conj13CL
MAT_1:5w11	40ETd	v	ἐγέννησεν	 	v	3		s	aorist	active	indicative			023003	A0:n40001005009 A1:n40001005013			V-AAI-3S	γεννάω		1080	begat	Conj13CL/S-V-O-ADV
MAT_1:5w12	4032Q	o	τὸν	 	det		m	s						092004				T-ASM	ὁ		3588	-	Conj13CL/S-V-O-ADV/o=DetNP
MAT_1:5w13	40lY9	o	Ἰωβὴδ	 	n		m	s					PN	093001				N-PRI	Ἰωβήδ		5601	Obed	Conj13CL/S-V-O-ADV/o=DetNP
MAT_1:5w14	40WZQ	adv	ἐκ	 	pp									089003				PREP	ἐκ		1537	out of	Conj13CL/S-V-O-ADV/adv=PrepNp
MAT_1:5w15	40R3u	adv	τῆς	 	det		f	s						092004				T-GSF	ὁ		3588	-	Conj13CL/S-V-O-ADV/adv=PrepNp/DetNP
MAT_1:5w16	4042D	adv	Ῥούθ	,	n		f	s					PN	093001				N-PRI	Ῥούθ		4503	Ruth	Conj13CL/S-V-O-ADV/adv=PrepNp/DetNP
MAT_1:5w17	4039V	s	Ἰωβὴδ	 	n		m	s					PN	093001				N-PRI	Ἰωβήδ		5601	Obed	Conj13CL/S-V-O
MAT_1:5w18	40YcA		δὲ	 	conj									089015			true	CONJ	δέ		1161	then	Conj13CL
MAT_1:5w19	40pKD	v	ἐγέννησεν	 	v	3		s	aorist	active	indicative			023003	A0:n40001005017 A1:n40001005021			V-AAI-3S	γεννάω		1080	begat	Conj13CL/S-V-O
MAT_1:5w20	40qc2	o	τὸν	 	det		m	s						092004				T-ASM	ὁ		3588	-	Conj13CL/S-V-O/o=DetNP
MAT_1:5w21	40iWO	o	Ἰεσσαί	,	n		m	s					PN	093001				N-PRI	Ἰεσσαί		2421	Jesse	Conj13CL/S-V-O/o=DetNP
MAT_1:6w1	40Kxj	s	Ἰεσσαὶ	 	n		m	s					PN	093001				N-PRI	Ἰεσσαί		2421	Jesse	Conj13CL/S-V-O
MAT_1:6w2	40vEI		δὲ	 	conj									089015			true	CONJ	δέ		1161	then	Conj13CL
MAT_1:6w3	40C56	v	ἐγέννησεν	 	v	3		s	aorist	active	indicative			023003	A0:n40001006001 A1:n40001006005			V-AAI-3S	γεννάω		1080	begat	Conj13CL/S-V-O
MAT_1:6w4	40aXf	o	τὸν	 	det		m	s						092004				T-ASM	ὁ		3588	-	Conj13CL/S-V-O/o=Np-Appos/DetNP
MAT_1:6w5	40C1i	o	Δαυὶδ	 	n		m	s					PN	093001				N-PRI	Δαυίδ		1138	David	Conj13CL/S-V-O/o=Np-Appos/DetNP
MAT_1:6w6	40HJW	o	τὸν	 	det		m	s						092004				T-ASM	ὁ		3588	the	Conj13CL/S-V-O/o=Np-Appos/DetNP
MAT_1:6w7	40piL	o	βασιλέα	.	n		m	s					com	037004				N-ASM	βασιλεύς		935	king	Conj13CL/S-V-O/o=Np-Appos/DetNP
MAT_1:6w8	40A4x	s	Δαυὶδ	 	n		m	s					PN	093001				N-PRI	Δαυίδ		1138	David	Conj-CL/Conj14CL/S-V-O-ADV
MAT_1:6w9	40Ayk		δὲ	 	conj									089015			true	CONJ	δέ		1161	then	Conj-CL
MAT_1:6w10	40xi9	v	ἐγέννησεν	 	v	3		s	aorist	active	indicative			023003	A0:n40001006008 A1:n40001006012			V-AAI-3S	γεννάω		1080	begat	Conj-CL/Conj14CL/S-V-O-ADV
MAT_1:6w11	40243	o	τὸν	 	det		m	s						092004				T-ASM	ὁ		3588	-	Conj-CL/Conj14CL/S-V-O-ADV/o=DetNP
MAT_1:6w12	40mKh	o	Σολομῶνα	 	n		m	s					PN	093001				N-ASM	Σολομών		4672	Solomon	Conj-CL/Conj14CL/S-V-O-ADV/o=DetNP
MAT_1:6w13	40h2P	adv	ἐκ	 	pp									089003				PREP	ἐκ		1537	out of	Conj-CL/Conj14CL/S-V-O-ADV/adv=PrepNp
MAT_1:6w14	40mHw	adv	τῆς	 	det		f	s						092004				T-GSF	ὁ		3588	the [wife]	Conj-CL/Conj14CL/S-V-O-ADV/adv=PrepNp/NPofNP
MAT_1:6w15	405aS	adv	τοῦ	 	det		m	s						092004				T-GSM	ὁ		3588	-	Conj-CL/Conj14CL/S-V-O-ADV/adv=PrepNp/NPofNP/DetNP
MAT_1:6w16	40flu	adv	Οὐρίου	,	n		m	s					PN	093001				N-GSM	Οὐρίας		3774	of Uriah	Conj-CL/Conj14CL/S-V-O-ADV/adv=PrepNp/NPofNP/DetNP
MAT_1:7w1	40YLO	s	Σολομὼν	 	n		m	s					PN	093001				N-NSM	Σολομών		4672	Solomon	Conj-CL/Conj14CL/S-V-O
MAT_1:7w2	40fYq		δὲ	 	conj									089015			true	CONJ	δέ		1161	then	Conj-CL/Conj14CL
MAT_1:7w3	40kDs	v	ἐγέννησεν	 	v	3		s	aorist	active	indicative			023003	A0:n40001007001 A1:n40001007005			V-AAI-3S	γεννάω		1080	begat	Conj-CL/Conj14CL/S-V-O
MAT_1:7w4	40xcB	o	τὸν	 	det		m	s						092004				T-ASM	ὁ		3588	-	Conj-CL/Conj14CL/S-V-O/o=DetNP
MAT_1:7w5	401ex	o	Ῥοβοάμ	,	n		m	s					PN	093001				N-PRI	Ῥοβοάμ		4497	Rehoboam	Conj-CL/Conj14CL/S-V-O/o=DetNP
MAT_1:7w6	40K1h	s	Ῥοβοὰμ	 	n		m	s					PN	093001				N-PRI	Ῥοβοάμ		4497	Rehoboam	Conj-CL/Conj14CL/S-V-O
MAT_1:7w7	40bFG		δὲ	 	conj									089015			true	CONJ	δέ		1161	then	Conj-CL/Conj14CL
MAT_1:7w8	40gge	v	ἐγέννησεν	 	v	3		s	aorist	active	indicative			023003	A0:n40001007006 A1:n40001007010			V-AAI-3S	γεννάω		1080	begat	Conj-CL/Conj14CL/S-V-O
MAT_1:7w9	40G9L	o	τὸν	 	det		m	s						092004				T-ASM	ὁ		3588	-	Conj-CL/Conj14CL/S-V-O/o=DetNP
MAT_1:7w10	40uQ8	o	Ἀβιά	,	n		m	s					PN	093001				N-PRI	Ἀβιά		7	Abijah	Conj-CL/Conj14CL/S-V-O/o=DetNP
MAT_1:7w11	40U7j	s	Ἀβιὰ	 	n		m	s					PN	093001				N-PRI	Ἀβιά		7	Abijah	Conj-CL/Conj14CL/S-V-O
MAT_1:7w12	400TT		δὲ	 	conj									089015			true	CONJ	δέ		1161	then	Conj-CL/Conj14CL
MAT_1:7w13	40RVi	v	ἐγέννησεν	 	v	3		s	aorist	active	indicative			023003	A0:n40001007011 A1:n40001007015			V-AAI-3S	γεννάω		1080	begat	Conj-CL/Conj14CL/S-V-O
MAT_1:7w14	40Twf	o	τὸν	 	det		m	s						092004				T-ASM	ὁ		3588	-	Conj-CL/Conj14CL/S-V-O/o=DetNP
MAT_1:7w15	40iap	o	Ἀσάφ	,	n		m	s					PN	093001				N-PRI	Ἀσάφ		760	Asa	Conj-CL/Conj14CL/S-V-O/o=DetNP
MAT_1:8w1	403G7	s	Ἀσὰφ	 	n		m	s					PN	093001				N-PRI	Ἀσάφ		760	Asa	Conj-CL/Conj14CL/S-V-O
MAT_1:8w2	40JHM		δὲ	 	conj									089015			true	CONJ	δέ		1161	then	Conj-CL/Conj14CL
MAT_1:8w3	40S4b	v	ἐγέννησεν	 	v	3		s	aorist	active	indicative			023003	A0:n40001008001 A1:n40001008005			V-AAI-3S	γεννάω		1080	begat	Conj-CL/Conj14CL/S-V-O
MAT_1:8w4	402hS	o	τὸν	 	det		m	s						092004				T-ASM	ὁ		3588	-	Conj-CL/Conj14CL/S-V-O/o=DetNP
MAT_1:8w5	40uog	o	Ἰωσαφάτ	,	n		m	s					PN	093001				N-PRI	Ἰωσαφάτ		2498	Jehoshaphat	Conj-CL/Conj14CL/S-V-O/o=DetNP
MAT_1:8w6	401Do	s	Ἰωσαφὰτ	 	n		m	s					PN	093001				N-PRI	Ἰωσαφάτ		2498	Jehoshaphat	Conj-CL/Conj14CL/S-V-O
MAT_1:8w7	40wUz		δὲ	 	conj									089015			true	CONJ	δέ		1161	then	Conj-CL/Conj14CL
MAT_1:8w8	40nnS	v	ἐγέννησεν	 	v	3		s	aorist	active	indicative			023003	A0:n40001008006 A1:n40001008010			V-AAI-3S	γεννάω		1080	begat	Conj-CL/Conj14CL/S-V-O
MAT_1:8w9	404ge	o	τὸν	 	det		m	s						092004				T-ASM	ὁ		3588	-	Conj-CL/Conj14CL/S-V-O/o=DetNP
