Lemma	Glosses
1023+	house
1099+	not
1125+	Ben
1127+	Ben__(1127)
1128+	Ben_(1128)
1136+	Ben
1145+	man;son
2334+	villages
2679+	half
2680+	half
3071+	LORD
4036+	terror
4192+	death
439+	Allon
4610+	ascent
4965+	metheg
516+	not
5898+	city
5904+	city
5905+	Ir-Shemesh
6548+	Pharaoh
6549+	Pharaoh
6978+	line_of
7248+	high
7249+	chief;rab-saris
7262+	field_commander;rabshakeh
7434+	Ramath
7436+	Ramathaim
7802+	lilies;lily
אֱגוֹז	nut_trees
אֱדַיִן	also;so;that_time;then
אֱדֹם	red
אֱדוֹם	Edom;Edomites
אֱהִי	where
אֱוִי	Evi
אֱוִיל	fool;foolish;fools
אֱוִלִי	foolish
אֱיָל	strength
אֱיָלוּת	help
אֱלִיאֵל	Eliel
אֱלִיאָב	Eliab;Eliab's
אֱלִידָד	Elidad
אֱלִיהוּ	Elihu
אֱלִיחֹרֶף	Elihoreph
אֱלִיל	idols;images;worthless
אֱלִימֶלֶךְ	Elimelech
אֱלִיעֶזֶר	Eliezer
אֱלִיעָם	Eliam
אֱלִיפְלֵהוּ	Eliphelehu
אֱלִיפַז	Eliphaz
אֱלִיפָל	Eliphal
אֱלִיצָפָן	Elizaphan;Elzaphan
אֱלִיצוּר	Elizur
אֱלִיקָא	Elika
אֱלִישֶׁבַע	Elisheba
אֱלִישָׁה	Elishah
אֱלִישָׁמָע	Elishama
אֱלִישָׁע	Elisha
אֱלִישָׁפָט	Elishaphat
אֱלִישׁוּעַ	Elishua
אֱלָהּ	god;gods
אֱלֹהִים	Elohe;God;god;God's;goddess;Godly;gods;great;judges;mighty;spirit
אֱלֹהַּ	god;God;God's
אֱלוּל	Elul
אֱמֶת	fairness;faith;faithful;faithfully;faithfulness;good_faith;lasting;purest;reliable;right;security;sure;true;truly;trustworthy;truth;truthful
אֱמֹרִי	Amorite;Amorites
אֱמוּנָה	entrusted;faith;faithful;faithfully;faithfulness;faithfulness_of;honesty;integrity;stability;steady;trust;truth
אֱנָשׁ	human;man;mankind;men;person
אֱנוֹשׁ	Enosh;everyone;human;man;man's;man_of;mankind;men;mortal;mortals;ordinary;others;people
אֱסָר	decree;edict;interdict
אֱסוּר	band;imprisonment
אֲבִי	Abi
אֲבִיָּהוּ	Abijah
אֲבִיָּם	Abijam
אֲבִיּוֹנָה	desire
אֲבִיאֵל	Abiel
אֲבִיאָסָף	Abiasaph
אֲבִיגַיִל	Abigail
אֲבִידָן	Abidan
אֲבִידָע	Abida
אֲבִיהוּא	Abihu
אֲבִיהוּד	Abihud
אֲבִיחַיִל	Abihail
אֲבִיטָל	Abital
אֲבִיטוּב	Abitub
אֲבִימֶלֶךְ	Abimelech;Abimelech's;Ahimelech
אֲבִימָאֵל	Abimael
אֲבִינֵר	Abner;Abner's
אֲבִינָדָב	Abinadab
